RunId,iteration,config,n_green_agents,n_yellow_agents,n_red_agents,n_green_waste,n_yellow_waste,n_red_waste,steps_executed,seed,cleaned,timed_out,stopped_with_waste,possible_deadlock,step_green_zero,step_yellow_zero,step_red_zero,step_total_zero,step_all_zero,step_all_zero_effective,disposed_green,disposed_yellow,disposed_red,disposed_total,initial_total_waste,optimal_green,optimal_yellow,optimal_red,optimal_total,compaction_ratio_green,compaction_ratio_yellow,compaction_ratio_red,compaction_ratio_total,green,yellow,red,total,cumulative_distance
0,0,"A(g6,y6,r6)-W(g9,y9,r9)-G(40x40)-P(gno_communication,yno_communication,rno_communication)",6,6,6,9,9,9,529,2000,True,False,False,False,363.0,517.0,529.0,529.0,529.0,529.0,3,4,13,20,27,1,1,15,17,0.07407407407407407,0.1111111111111111,-0.07407407407407407,0.1111111111111111,0,0,0,0,0
1,0,"A(g6,y6,r6)-W(g9,y9,r9)-G(40x40)-P(gno_communication,yno_communication,rno_communication)",6,6,6,9,9,9,1676,2001,True,False,False,False,458.0,1676.0,389.0,1676.0,1676.0,1676.0,3,4,13,20,27,1,1,15,17,0.07407407407407407,0.1111111111111111,-0.07407407407407407,0.1111111111111111,0,0,0,0,0
2,0,"A(g6,y6,r6)-W(g9,y9,r9)-G(40x40)-P(gno_communication,yno_communication,rno_communication)",6,6,6,9,9,9,1083,2002,True,False,False,False,537.0,1083.0,607.0,1083.0,1083.0,1083.0,1,1,15,17,27,1,1,15,17,0.0,0.0,0.0,0.0,0,0,0,0,0
3,0,"A(g6,y6,r6)-W(g9,y9,r9)-G(40x40)-P(gno_communication,yno_communication,rno_communication)",6,6,6,9,9,9,918,2003,True,False,False,False,918.0,260.0,405.0,918.0,918.0,918.0,3,2,14,19,27,1,1,15,17,0.07407407407407407,0.037037037037037035,-0.037037037037037035,0.07407407407407407,0,0,0,0,0
4,0,"A(g6,y6,r6)-W(g9,y9,r9)-G(40x40)-P(gno_communication,yno_communication,rno_communication)",6,6,6,9,9,9,485,2004,True,False,False,False,485.0,311.0,429.0,485.0,485.0,485.0,5,5,12,22,27,1,1,15,17,0.14814814814814814,0.14814814814814814,-0.1111111111111111,0.18518518518518517,0,0,0,0,0
5,0,"A(g6,y6,r6)-W(g9,y9,r9)-G(40x40)-P(gno_communication,yno_communication,rno_communication)",6,6,6,9,9,9,447,2005,True,False,False,False,447.0,357.0,337.0,447.0,447.0,447.0,1,1,15,17,27,1,1,15,17,0.0,0.0,0.0,0.0,0,0,0,0,0
6,0,"A(g6,y6,r6)-W(g9,y9,r9)-G(40x40)-P(gno_communication,yno_communication,rno_communication)",6,6,6,9,9,9,491,2006,True,False,False,False,333.0,491.0,268.0,491.0,491.0,491.0,1,5,13,19,27,1,1,15,17,0.0,0.14814814814814814,-0.07407407407407407,0.07407407407407407,0,0,0,0,0
7,0,"A(g6,y6,r6)-W(g9,y9,r9)-G(40x40)-P(gno_communication,yno_communication,rno_communication)",6,6,6,9,9,9,1086,2007,True,False,False,False,545.0,1086.0,497.0,1086.0,1086.0,1086.0,3,4,13,20,27,1,1,15,17,0.07407407407407407,0.1111111111111111,-0.07407407407407407,0.1111111111111111,0,0,0,0,0
8,0,"A(g6,y6,r6)-W(g9,y9,r9)-G(40x40)-P(gno_communication,yno_communication,rno_communication)",6,6,6,9,9,9,440,2008,True,False,False,False,339.0,350.0,440.0,440.0,440.0,440.0,5,1,14,20,27,1,1,15,17,0.14814814814814814,0.0,-0.037037037037037035,0.1111111111111111,0,0,0,0,0
9,0,"A(g6,y6,r6)-W(g9,y9,r9)-G(40x40)-P(gno_communication,yno_communication,rno_communication)",6,6,6,9,9,9,504,2009,True,False,False,False,199.0,303.0,504.0,504.0,504.0,504.0,1,1,15,17,27,1,1,15,17,0.0,0.0,0.0,0.0,0,0,0,0,0
