RunId,iteration,config,n_green_agents,n_yellow_agents,n_red_agents,n_green_waste,n_yellow_waste,n_red_waste,steps_executed,seed,cleaned,timed_out,stopped_with_waste,possible_deadlock,step_green_zero,step_yellow_zero,step_red_zero,step_total_zero,step_all_zero,step_all_zero_effective,disposed_green,disposed_yellow,disposed_red,disposed_total,initial_total_waste,optimal_green,optimal_yellow,optimal_red,optimal_total,compaction_ratio_green,compaction_ratio_yellow,compaction_ratio_red,compaction_ratio_total,green,yellow,red,total,cumulative_distance
0,0,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)",14,14,14,18,18,18,219,4000,True,False,False,False,210.0,145.0,219.0,219.0,219.0,219.0,10,8,25,43,54,0,1,31,32,0.18518518518518517,0.12962962962962962,-0.1111111111111111,0.2037037037037037,0,0,0,0,0
1,0,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)",14,14,14,18,18,18,157,4001,True,False,False,False,144.0,130.0,157.0,157.0,157.0,157.0,10,6,26,42,54,0,1,31,32,0.18518518518518517,0.09259259259259259,-0.09259259259259259,0.18518518518518517,0,0,0,0,0
2,0,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)",14,14,14,18,18,18,242,4002,True,False,False,False,129.0,242.0,160.0,242.0,242.0,242.0,2,10,26,38,54,0,1,31,32,0.037037037037037035,0.16666666666666666,-0.09259259259259259,0.1111111111111111,0,0,0,0,0
3,0,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)",14,14,14,18,18,18,234,4003,True,False,False,False,196.0,179.0,234.0,234.0,234.0,234.0,8,3,28,39,54,0,1,31,32,0.14814814814814814,0.037037037037037035,-0.05555555555555555,0.12962962962962962,0,0,0,0,0
4,0,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)",14,14,14,18,18,18,191,4004,True,False,False,False,144.0,162.0,191.0,191.0,191.0,191.0,8,7,25,40,54,0,1,31,32,0.14814814814814814,0.1111111111111111,-0.1111111111111111,0.14814814814814814,0,0,0,0,0
5,0,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)",14,14,14,18,18,18,223,4005,True,False,False,False,135.0,175.0,223.0,223.0,223.0,223.0,8,7,26,41,54,0,1,31,32,0.14814814814814814,0.1111111111111111,-0.09259259259259259,0.16666666666666666,0,0,0,0,0
6,0,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)",14,14,14,18,18,18,176,4006,True,False,False,False,123.0,166.0,176.0,176.0,176.0,176.0,6,6,27,39,54,0,1,31,32,0.1111111111111111,0.09259259259259259,-0.07407407407407407,0.12962962962962962,0,0,0,0,0
7,0,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)",14,14,14,18,18,18,227,4007,True,False,False,False,227.0,174.0,178.0,227.0,227.0,227.0,8,7,26,41,54,0,1,31,32,0.14814814814814814,0.1111111111111111,-0.09259259259259259,0.16666666666666666,0,0,0,0,0
8,0,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)",14,14,14,18,18,18,155,4008,True,False,False,False,150.0,153.0,155.0,155.0,155.0,155.0,10,6,25,41,54,0,1,31,32,0.18518518518518517,0.09259259259259259,-0.1111111111111111,0.16666666666666666,0,0,0,0,0
9,0,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)",14,14,14,18,18,18,245,4009,True,False,False,False,245.0,144.0,140.0,245.0,245.0,245.0,4,7,26,37,54,0,1,31,32,0.07407407407407407,0.1111111111111111,-0.09259259259259259,0.09259259259259259,0,0,0,0,0
10,0,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)",14,14,14,18,18,18,208,4010,True,False,False,False,194.0,177.0,208.0,208.0,208.0,208.0,10,8,25,43,54,0,1,31,32,0.18518518518518517,0.12962962962962962,-0.1111111111111111,0.2037037037037037,0,0,0,0,0
11,0,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)",14,14,14,18,18,18,221,4011,True,False,False,False,151.0,221.0,202.0,221.0,221.0,221.0,8,9,24,41,54,0,1,31,32,0.14814814814814814,0.14814814814814814,-0.12962962962962962,0.16666666666666666,0,0,0,0,0
12,0,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)",14,14,14,18,18,18,180,4012,True,False,False,False,119.0,148.0,180.0,180.0,180.0,180.0,6,8,26,40,54,0,1,31,32,0.1111111111111111,0.12962962962962962,-0.09259259259259259,0.14814814814814814,0,0,0,0,0
13,0,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)",14,14,14,18,18,18,237,4013,True,False,False,False,110.0,160.0,237.0,237.0,237.0,237.0,2,6,28,36,54,0,1,31,32,0.037037037037037035,0.09259259259259259,-0.05555555555555555,0.07407407407407407,0,0,0,0,0
14,0,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)",14,14,14,18,18,18,197,4014,True,False,False,False,197.0,128.0,162.0,197.0,197.0,197.0,8,3,28,39,54,0,1,31,32,0.14814814814814814,0.037037037037037035,-0.05555555555555555,0.12962962962962962,0,0,0,0,0
15,0,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)",14,14,14,18,18,18,295,4015,True,False,False,False,131.0,295.0,202.0,295.0,295.0,295.0,6,6,27,39,54,0,1,31,32,0.1111111111111111,0.09259259259259259,-0.07407407407407407,0.12962962962962962,0,0,0,0,0
16,0,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)",14,14,14,18,18,18,210,4016,True,False,False,False,210.0,139.0,186.0,210.0,210.0,210.0,8,7,25,40,54,0,1,31,32,0.14814814814814814,0.1111111111111111,-0.1111111111111111,0.14814814814814814,0,0,0,0,0
17,0,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)",14,14,14,18,18,18,181,4017,True,False,False,False,119.0,137.0,181.0,181.0,181.0,181.0,8,7,26,41,54,0,1,31,32,0.14814814814814814,0.1111111111111111,-0.09259259259259259,0.16666666666666666,0,0,0,0,0
18,0,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)",14,14,14,18,18,18,163,4018,True,False,False,False,163.0,117.0,158.0,163.0,163.0,163.0,6,8,26,40,54,0,1,31,32,0.1111111111111111,0.12962962962962962,-0.09259259259259259,0.14814814814814814,0,0,0,0,0
19,0,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)",14,14,14,18,18,18,192,4019,True,False,False,False,110.0,130.0,192.0,192.0,192.0,192.0,6,6,27,39,54,0,1,31,32,0.1111111111111111,0.09259259259259259,-0.07407407407407407,0.12962962962962962,0,0,0,0,0
