RunId,iteration,config,n_green_agents,n_yellow_agents,n_red_agents,n_green_waste,n_yellow_waste,n_red_waste,steps_executed,seed,cleaned,timed_out,stopped_with_waste,possible_deadlock,step_green_zero,step_yellow_zero,step_red_zero,step_total_zero,step_all_zero,step_all_zero_effective,disposed_green,disposed_yellow,disposed_red,disposed_total,initial_total_waste,optimal_green,optimal_yellow,optimal_red,optimal_total,compaction_ratio_green,compaction_ratio_yellow,compaction_ratio_red,compaction_ratio_total,green,yellow,red,total,cumulative_distance
0,0,"A(g6,y6,r6)-W(g15,y15,r15)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)",6,6,6,15,15,15,292,3000,True,False,False,False,126.0,168.0,292.0,292.0,292.0,292.0,3,1,25,29,45,1,0,26,27,0.044444444444444446,0.022222222222222223,-0.022222222222222223,0.044444444444444446,0,0,0,0,0
1,0,"A(g6,y6,r6)-W(g15,y15,r15)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)",6,6,6,15,15,15,1500,3001,False,True,True,True,141.0,,,,,1500.0,3,6,21,30,45,1,0,26,27,0.044444444444444446,0.13333333333333333,-0.1111111111111111,0.06666666666666667,0,1,1,2,38
2,0,"A(g6,y6,r6)-W(g15,y15,r15)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)",6,6,6,15,15,15,1500,3002,False,True,True,True,,165.0,241.0,,,1500.0,2,5,23,30,45,1,0,26,27,0.022222222222222223,0.1111111111111111,-0.06666666666666667,0.06666666666666667,1,0,0,1,12
3,0,"A(g6,y6,r6)-W(g15,y15,r15)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)",6,6,6,15,15,15,249,3003,True,False,False,False,163.0,206.0,249.0,249.0,249.0,249.0,5,4,23,32,45,1,0,26,27,0.08888888888888889,0.08888888888888889,-0.06666666666666667,0.1111111111111111,0,0,0,0,0
4,0,"A(g6,y6,r6)-W(g15,y15,r15)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)",6,6,6,15,15,15,952,3004,True,False,False,False,952.0,155.0,205.0,952.0,952.0,952.0,1,6,23,30,45,1,0,26,27,0.0,0.13333333333333333,-0.06666666666666667,0.06666666666666667,0,0,0,0,0
5,0,"A(g6,y6,r6)-W(g15,y15,r15)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)",6,6,6,15,15,15,224,3005,True,False,False,False,160.0,195.0,224.0,224.0,224.0,224.0,3,3,23,29,45,1,0,26,27,0.044444444444444446,0.06666666666666667,-0.06666666666666667,0.044444444444444446,0,0,0,0,0
6,0,"A(g6,y6,r6)-W(g15,y15,r15)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)",6,6,6,15,15,15,233,3006,True,False,False,False,233.0,177.0,180.0,233.0,233.0,233.0,5,4,23,32,45,1,0,26,27,0.08888888888888889,0.08888888888888889,-0.06666666666666667,0.1111111111111111,0,0,0,0,0
7,0,"A(g6,y6,r6)-W(g15,y15,r15)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)",6,6,6,15,15,15,1500,3007,False,True,True,True,,,229.0,,,1500.0,2,7,21,30,45,1,0,26,27,0.022222222222222223,0.15555555555555556,-0.1111111111111111,0.06666666666666667,1,2,0,3,91
8,0,"A(g6,y6,r6)-W(g15,y15,r15)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)",6,6,6,15,15,15,177,3008,True,False,False,False,128.0,106.0,177.0,177.0,177.0,177.0,5,4,23,32,45,1,0,26,27,0.08888888888888889,0.08888888888888889,-0.06666666666666667,0.1111111111111111,0,0,0,0,0
9,0,"A(g6,y6,r6)-W(g15,y15,r15)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)",6,6,6,15,15,15,180,3009,True,False,False,False,67.0,149.0,180.0,180.0,180.0,180.0,1,4,24,29,45,1,0,26,27,0.0,0.08888888888888889,-0.044444444444444446,0.044444444444444446,0,0,0,0,0
10,0,"A(g6,y6,r6)-W(g15,y15,r15)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)",6,6,6,15,15,15,236,3010,True,False,False,False,137.0,236.0,223.0,236.0,236.0,236.0,5,2,24,31,45,1,0,26,27,0.08888888888888889,0.044444444444444446,-0.044444444444444446,0.08888888888888889,0,0,0,0,0
11,0,"A(g6,y6,r6)-W(g15,y15,r15)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)",6,6,6,15,15,15,219,3011,True,False,False,False,214.0,147.0,219.0,219.0,219.0,219.0,3,5,23,31,45,1,0,26,27,0.044444444444444446,0.1111111111111111,-0.06666666666666667,0.08888888888888889,0,0,0,0,0
12,0,"A(g6,y6,r6)-W(g15,y15,r15)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)",6,6,6,15,15,15,361,3012,True,False,False,False,361.0,109.0,201.0,361.0,361.0,361.0,3,5,23,31,45,1,0,26,27,0.044444444444444446,0.1111111111111111,-0.06666666666666667,0.08888888888888889,0,0,0,0,0
13,0,"A(g6,y6,r6)-W(g15,y15,r15)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)",6,6,6,15,15,15,232,3013,True,False,False,False,163.0,144.0,232.0,232.0,232.0,232.0,3,5,23,31,45,1,0,26,27,0.044444444444444446,0.1111111111111111,-0.06666666666666667,0.08888888888888889,0,0,0,0,0
14,0,"A(g6,y6,r6)-W(g15,y15,r15)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)",6,6,6,15,15,15,1429,3014,True,False,False,False,119.0,1429.0,235.0,1429.0,1429.0,1429.0,3,5,23,31,45,1,0,26,27,0.044444444444444446,0.1111111111111111,-0.06666666666666667,0.08888888888888889,0,0,0,0,0
15,0,"A(g6,y6,r6)-W(g15,y15,r15)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)",6,6,6,15,15,15,237,3015,True,False,False,False,211.0,160.0,237.0,237.0,237.0,237.0,3,3,24,30,45,1,0,26,27,0.044444444444444446,0.06666666666666667,-0.044444444444444446,0.06666666666666667,0,0,0,0,0
16,0,"A(g6,y6,r6)-W(g15,y15,r15)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)",6,6,6,15,15,15,187,3016,True,False,False,False,132.0,182.0,187.0,187.0,187.0,187.0,5,4,23,32,45,1,0,26,27,0.08888888888888889,0.08888888888888889,-0.06666666666666667,0.1111111111111111,0,0,0,0,0
17,0,"A(g6,y6,r6)-W(g15,y15,r15)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)",6,6,6,15,15,15,239,3017,True,False,False,False,68.0,184.0,239.0,239.0,239.0,239.0,1,6,23,30,45,1,0,26,27,0.0,0.13333333333333333,-0.06666666666666667,0.06666666666666667,0,0,0,0,0
18,0,"A(g6,y6,r6)-W(g15,y15,r15)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)",6,6,6,15,15,15,289,3018,True,False,False,False,166.0,289.0,181.0,289.0,289.0,289.0,5,6,22,33,45,1,0,26,27,0.08888888888888889,0.13333333333333333,-0.08888888888888889,0.13333333333333333,0,0,0,0,0
19,0,"A(g6,y6,r6)-W(g15,y15,r15)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)",6,6,6,15,15,15,212,3019,True,False,False,False,131.0,161.0,212.0,212.0,212.0,212.0,3,5,23,31,45,1,0,26,27,0.044444444444444446,0.1111111111111111,-0.06666666666666667,0.08888888888888889,0,0,0,0,0
