RunId,iteration,config,n_green_agents,n_yellow_agents,n_red_agents,n_green_waste,n_yellow_waste,n_red_waste,steps_executed,seed,cleaned,timed_out,stopped_with_waste,possible_deadlock,step_green_zero,step_yellow_zero,step_red_zero,step_total_zero,step_all_zero,step_all_zero_effective,disposed_green,disposed_yellow,disposed_red,disposed_total,initial_total_waste,optimal_green,optimal_yellow,optimal_red,optimal_total,compaction_ratio_green,compaction_ratio_yellow,compaction_ratio_red,compaction_ratio_total,green,yellow,red,total,cumulative_distance
0,0,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gno_communication,yno_communication,rno_communication)",14,14,14,18,18,18,194,4000,True,False,False,False,179.0,154.0,194.0,194.0,194.0,194.0,8,5,27,40,54,0,1,31,32,0.14814814814814814,0.07407407407407407,-0.07407407407407407,0.14814814814814814,0,0,0,0,0
1,0,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gno_communication,yno_communication,rno_communication)",14,14,14,18,18,18,203,4001,True,False,False,False,164.0,180.0,203.0,203.0,203.0,203.0,8,5,27,40,54,0,1,31,32,0.14814814814814814,0.07407407407407407,-0.07407407407407407,0.14814814814814814,0,0,0,0,0
2,0,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gno_communication,yno_communication,rno_communication)",14,14,14,18,18,18,209,4002,True,False,False,False,209.0,187.0,205.0,209.0,209.0,209.0,2,4,29,35,54,0,1,31,32,0.037037037037037035,0.05555555555555555,-0.037037037037037035,0.05555555555555555,0,0,0,0,0
3,0,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gno_communication,yno_communication,rno_communication)",14,14,14,18,18,18,242,4003,True,False,False,False,242.0,229.0,236.0,242.0,242.0,242.0,6,4,28,38,54,0,1,31,32,0.1111111111111111,0.05555555555555555,-0.05555555555555555,0.1111111111111111,0,0,0,0,0
4,0,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gno_communication,yno_communication,rno_communication)",14,14,14,18,18,18,260,4004,True,False,False,False,212.0,123.0,260.0,260.0,260.0,260.0,4,3,28,35,54,0,1,31,32,0.07407407407407407,0.037037037037037035,-0.05555555555555555,0.05555555555555555,0,0,0,0,0
5,0,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gno_communication,yno_communication,rno_communication)",14,14,14,18,18,18,193,4005,True,False,False,False,176.0,188.0,193.0,193.0,193.0,193.0,6,4,28,38,54,0,1,31,32,0.1111111111111111,0.05555555555555555,-0.05555555555555555,0.1111111111111111,0,0,0,0,0
6,0,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gno_communication,yno_communication,rno_communication)",14,14,14,18,18,18,205,4006,True,False,False,False,189.0,178.0,205.0,205.0,205.0,205.0,4,1,30,35,54,0,1,31,32,0.07407407407407407,0.0,-0.018518518518518517,0.05555555555555555,0,0,0,0,0
7,0,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gno_communication,yno_communication,rno_communication)",14,14,14,18,18,18,251,4007,True,False,False,False,145.0,213.0,251.0,251.0,251.0,251.0,2,4,29,35,54,0,1,31,32,0.037037037037037035,0.05555555555555555,-0.037037037037037035,0.05555555555555555,0,0,0,0,0
8,0,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gno_communication,yno_communication,rno_communication)",14,14,14,18,18,18,266,4008,True,False,False,False,210.0,168.0,266.0,266.0,266.0,266.0,6,4,27,37,54,0,1,31,32,0.1111111111111111,0.05555555555555555,-0.07407407407407407,0.09259259259259259,0,0,0,0,0
9,0,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gno_communication,yno_communication,rno_communication)",14,14,14,18,18,18,259,4009,True,False,False,False,259.0,243.0,236.0,259.0,259.0,259.0,6,6,26,38,54,0,1,31,32,0.1111111111111111,0.09259259259259259,-0.09259259259259259,0.1111111111111111,0,0,0,0,0
10,0,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gno_communication,yno_communication,rno_communication)",14,14,14,18,18,18,196,4010,True,False,False,False,196.0,155.0,169.0,196.0,196.0,196.0,6,4,28,38,54,0,1,31,32,0.1111111111111111,0.05555555555555555,-0.05555555555555555,0.1111111111111111,0,0,0,0,0
11,0,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gno_communication,yno_communication,rno_communication)",14,14,14,18,18,18,320,4011,True,False,False,False,283.0,247.0,320.0,320.0,320.0,320.0,8,3,27,38,54,0,1,31,32,0.14814814814814814,0.037037037037037035,-0.07407407407407407,0.1111111111111111,0,0,0,0,0
12,0,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gno_communication,yno_communication,rno_communication)",14,14,14,18,18,18,268,4012,True,False,False,False,222.0,161.0,268.0,268.0,268.0,268.0,8,3,28,39,54,0,1,31,32,0.14814814814814814,0.037037037037037035,-0.05555555555555555,0.12962962962962962,0,0,0,0,0
13,0,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gno_communication,yno_communication,rno_communication)",14,14,14,18,18,18,262,4013,True,False,False,False,262.0,238.0,260.0,262.0,262.0,262.0,6,6,27,39,54,0,1,31,32,0.1111111111111111,0.09259259259259259,-0.07407407407407407,0.12962962962962962,0,0,0,0,0
14,0,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gno_communication,yno_communication,rno_communication)",14,14,14,18,18,18,193,4014,True,False,False,False,134.0,166.0,193.0,193.0,193.0,193.0,2,4,29,35,54,0,1,31,32,0.037037037037037035,0.05555555555555555,-0.037037037037037035,0.05555555555555555,0,0,0,0,0
15,0,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gno_communication,yno_communication,rno_communication)",14,14,14,18,18,18,223,4015,True,False,False,False,124.0,103.0,223.0,223.0,223.0,223.0,2,4,29,35,54,0,1,31,32,0.037037037037037035,0.05555555555555555,-0.037037037037037035,0.05555555555555555,0,0,0,0,0
16,0,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gno_communication,yno_communication,rno_communication)",14,14,14,18,18,18,226,4016,True,False,False,False,184.0,226.0,223.0,226.0,226.0,226.0,6,8,25,39,54,0,1,31,32,0.1111111111111111,0.12962962962962962,-0.1111111111111111,0.12962962962962962,0,0,0,0,0
17,0,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gno_communication,yno_communication,rno_communication)",14,14,14,18,18,18,198,4017,True,False,False,False,109.0,117.0,198.0,198.0,198.0,198.0,4,3,29,36,54,0,1,31,32,0.07407407407407407,0.037037037037037035,-0.037037037037037035,0.07407407407407407,0,0,0,0,0
18,0,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gno_communication,yno_communication,rno_communication)",14,14,14,18,18,18,182,4018,True,False,False,False,182.0,139.0,167.0,182.0,182.0,182.0,4,5,28,37,54,0,1,31,32,0.07407407407407407,0.07407407407407407,-0.05555555555555555,0.09259259259259259,0,0,0,0,0
19,0,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gno_communication,yno_communication,rno_communication)",14,14,14,18,18,18,133,4019,True,False,False,False,118.0,102.0,133.0,133.0,133.0,133.0,6,6,27,39,54,0,1,31,32,0.1111111111111111,0.09259259259259259,-0.07407407407407407,0.12962962962962962,0,0,0,0,0
