RunId,iteration,config,n_green_agents,n_yellow_agents,n_red_agents,n_green_waste,n_yellow_waste,n_red_waste,steps_executed,seed,cleaned,timed_out,stopped_with_waste,possible_deadlock,step_green_zero,step_yellow_zero,step_red_zero,step_total_zero,step_all_zero,step_all_zero_effective,disposed_green,disposed_yellow,disposed_red,disposed_total,initial_total_waste,optimal_green,optimal_yellow,optimal_red,optimal_total,compaction_ratio_green,compaction_ratio_yellow,compaction_ratio_red,compaction_ratio_total,green,yellow,red,total,cumulative_distance
0,0,"A(g22,y22,r22)-W(g35,y35,r35)-G(40x40)-P(gwidespread,ywidespread,rwidespread)",22,22,22,35,35,35,1000,5000,False,True,True,True,,239.0,,,,1000.0,10,11,52,73,105,1,0,61,62,0.08571428571428572,0.10476190476190476,-0.08571428571428572,0.10476190476190476,1,0,1,2,64
1,0,"A(g22,y22,r22)-W(g35,y35,r35)-G(40x40)-P(gwidespread,ywidespread,rwidespread)",22,22,22,35,35,35,704,5001,True,False,False,False,214.0,704.0,274.0,704.0,704.0,704.0,7,11,54,72,105,1,0,61,62,0.05714285714285714,0.10476190476190476,-0.06666666666666667,0.09523809523809523,0,0,0,0,0
2,0,"A(g22,y22,r22)-W(g35,y35,r35)-G(40x40)-P(gwidespread,ywidespread,rwidespread)",22,22,22,35,35,35,1000,5002,False,True,True,True,275.0,,313.0,,,1000.0,3,12,54,69,105,1,0,61,62,0.01904761904761905,0.11428571428571428,-0.06666666666666667,0.06666666666666667,0,1,0,1,42
3,0,"A(g22,y22,r22)-W(g35,y35,r35)-G(40x40)-P(gwidespread,ywidespread,rwidespread)",22,22,22,35,35,35,809,5003,True,False,False,False,304.0,308.0,809.0,809.0,809.0,809.0,9,12,53,74,105,1,0,61,62,0.0761904761904762,0.11428571428571428,-0.0761904761904762,0.11428571428571428,0,0,0,0,0
4,0,"A(g22,y22,r22)-W(g35,y35,r35)-G(40x40)-P(gwidespread,ywidespread,rwidespread)",22,22,22,35,35,35,1000,5004,False,True,True,True,304.0,,510.0,,,1000.0,7,8,55,70,105,1,0,61,62,0.05714285714285714,0.0761904761904762,-0.05714285714285714,0.0761904761904762,0,1,0,1,47
5,0,"A(g22,y22,r22)-W(g35,y35,r35)-G(40x40)-P(gwidespread,ywidespread,rwidespread)",22,22,22,35,35,35,426,5005,True,False,False,False,258.0,426.0,279.0,426.0,426.0,426.0,9,4,57,70,105,1,0,61,62,0.0761904761904762,0.0380952380952381,-0.0380952380952381,0.0761904761904762,0,0,0,0,0
6,0,"A(g22,y22,r22)-W(g35,y35,r35)-G(40x40)-P(gwidespread,ywidespread,rwidespread)",22,22,22,35,35,35,328,5006,True,False,False,False,196.0,213.0,328.0,328.0,328.0,328.0,9,6,56,71,105,1,0,61,62,0.0761904761904762,0.05714285714285714,-0.047619047619047616,0.08571428571428572,0,0,0,0,0
7,0,"A(g22,y22,r22)-W(g35,y35,r35)-G(40x40)-P(gwidespread,ywidespread,rwidespread)",22,22,22,35,35,35,307,5007,True,False,False,False,222.0,287.0,307.0,307.0,307.0,307.0,5,12,54,71,105,1,0,61,62,0.0380952380952381,0.11428571428571428,-0.06666666666666667,0.08571428571428572,0,0,0,0,0
8,0,"A(g22,y22,r22)-W(g35,y35,r35)-G(40x40)-P(gwidespread,ywidespread,rwidespread)",22,22,22,35,35,35,302,5008,True,False,False,False,206.0,217.0,302.0,302.0,302.0,302.0,7,7,56,70,105,1,0,61,62,0.05714285714285714,0.06666666666666667,-0.047619047619047616,0.0761904761904762,0,0,0,0,0
9,0,"A(g22,y22,r22)-W(g35,y35,r35)-G(40x40)-P(gwidespread,ywidespread,rwidespread)",22,22,22,35,35,35,501,5009,True,False,False,False,216.0,219.0,501.0,501.0,501.0,501.0,7,5,57,69,105,1,0,61,62,0.05714285714285714,0.047619047619047616,-0.0380952380952381,0.06666666666666667,0,0,0,0,0
10,0,"A(g22,y22,r22)-W(g35,y35,r35)-G(40x40)-P(gwidespread,ywidespread,rwidespread)",22,22,22,35,35,35,1000,5010,False,True,True,True,254.0,,251.0,,,1000.0,7,8,54,69,105,1,0,61,62,0.05714285714285714,0.0761904761904762,-0.06666666666666667,0.06666666666666667,0,3,0,3,135
11,0,"A(g22,y22,r22)-W(g35,y35,r35)-G(40x40)-P(gwidespread,ywidespread,rwidespread)",22,22,22,35,35,35,303,5011,True,False,False,False,265.0,303.0,258.0,303.0,303.0,303.0,7,9,55,71,105,1,0,61,62,0.05714285714285714,0.08571428571428572,-0.05714285714285714,0.08571428571428572,0,0,0,0,0
12,0,"A(g22,y22,r22)-W(g35,y35,r35)-G(40x40)-P(gwidespread,ywidespread,rwidespread)",22,22,22,35,35,35,348,5012,True,False,False,False,235.0,279.0,348.0,348.0,348.0,348.0,11,11,53,75,105,1,0,61,62,0.09523809523809523,0.10476190476190476,-0.0761904761904762,0.12380952380952381,0,0,0,0,0
13,0,"A(g22,y22,r22)-W(g35,y35,r35)-G(40x40)-P(gwidespread,ywidespread,rwidespread)",22,22,22,35,35,35,1000,5013,False,True,True,True,149.0,,279.0,,,1000.0,7,6,56,69,105,1,0,61,62,0.05714285714285714,0.05714285714285714,-0.047619047619047616,0.06666666666666667,0,1,0,1,27
14,0,"A(g22,y22,r22)-W(g35,y35,r35)-G(40x40)-P(gwidespread,ywidespread,rwidespread)",22,22,22,35,35,35,309,5014,True,False,False,False,197.0,309.0,306.0,309.0,309.0,309.0,7,9,55,71,105,1,0,61,62,0.05714285714285714,0.08571428571428572,-0.05714285714285714,0.08571428571428572,0,0,0,0,0
15,0,"A(g22,y22,r22)-W(g35,y35,r35)-G(40x40)-P(gwidespread,ywidespread,rwidespread)",22,22,22,35,35,35,341,5015,True,False,False,False,211.0,242.0,341.0,341.0,341.0,341.0,7,13,53,73,105,1,0,61,62,0.05714285714285714,0.12380952380952381,-0.0761904761904762,0.10476190476190476,0,0,0,0,0
