RunId,iteration,config,n_green_agents,n_yellow_agents,n_red_agents,n_green_waste,n_yellow_waste,n_red_waste,steps_executed,seed,cleaned,timed_out,stopped_with_waste,possible_deadlock,step_green_zero,step_yellow_zero,step_red_zero,step_total_zero,step_all_zero,step_all_zero_effective,disposed_green,disposed_yellow,disposed_red,disposed_total,initial_total_waste,optimal_green,optimal_yellow,optimal_red,optimal_total,compaction_ratio_green,compaction_ratio_yellow,compaction_ratio_red,compaction_ratio_total,green,yellow,red,total,cumulative_distance
0,0,"A(g6,y6,r6)-W(g15,y15,r15)-G(22x22)-P(gwidespread,ywidespread,rwidespread)",6,6,6,15,15,15,239,3000,True,False,False,False,100.0,110.0,239.0,239.0,239.0,239.0,1,6,23,30,45,1,0,26,27,0.0,0.13333333333333333,-0.06666666666666667,0.06666666666666667,0,0,0,0,0
1,0,"A(g6,y6,r6)-W(g15,y15,r15)-G(22x22)-P(gwidespread,ywidespread,rwidespread)",6,6,6,15,15,15,188,3001,True,False,False,False,146.0,182.0,188.0,188.0,188.0,188.0,5,10,20,35,45,1,0,26,27,0.08888888888888889,0.2222222222222222,-0.13333333333333333,0.17777777777777778,0,0,0,0,0
2,0,"A(g6,y6,r6)-W(g15,y15,r15)-G(22x22)-P(gwidespread,ywidespread,rwidespread)",6,6,6,15,15,15,307,3002,True,False,False,False,109.0,160.0,307.0,307.0,307.0,307.0,3,7,22,32,45,1,0,26,27,0.044444444444444446,0.15555555555555556,-0.08888888888888889,0.1111111111111111,0,0,0,0,0
3,0,"A(g6,y6,r6)-W(g15,y15,r15)-G(22x22)-P(gwidespread,ywidespread,rwidespread)",6,6,6,15,15,15,208,3003,True,False,False,False,208.0,88.0,203.0,208.0,208.0,208.0,3,5,23,31,45,1,0,26,27,0.044444444444444446,0.1111111111111111,-0.06666666666666667,0.08888888888888889,0,0,0,0,0
4,0,"A(g6,y6,r6)-W(g15,y15,r15)-G(22x22)-P(gwidespread,ywidespread,rwidespread)",6,6,6,15,15,15,218,3004,True,False,False,False,110.0,218.0,188.0,218.0,218.0,218.0,1,6,23,30,45,1,0,26,27,0.0,0.13333333333333333,-0.06666666666666667,0.06666666666666667,0,0,0,0,0
5,0,"A(g6,y6,r6)-W(g15,y15,r15)-G(22x22)-P(gwidespread,ywidespread,rwidespread)",6,6,6,15,15,15,201,3005,True,False,False,False,162.0,155.0,201.0,201.0,201.0,201.0,3,5,22,30,45,1,0,26,27,0.044444444444444446,0.1111111111111111,-0.08888888888888889,0.06666666666666667,0,0,0,0,0
6,0,"A(g6,y6,r6)-W(g15,y15,r15)-G(22x22)-P(gwidespread,ywidespread,rwidespread)",6,6,6,15,15,15,179,3006,True,False,False,False,168.0,141.0,179.0,179.0,179.0,179.0,3,7,22,32,45,1,0,26,27,0.044444444444444446,0.15555555555555556,-0.08888888888888889,0.1111111111111111,0,0,0,0,0
7,0,"A(g6,y6,r6)-W(g15,y15,r15)-G(22x22)-P(gwidespread,ywidespread,rwidespread)",6,6,6,15,15,15,224,3007,True,False,False,False,171.0,134.0,224.0,224.0,224.0,224.0,3,3,24,30,45,1,0,26,27,0.044444444444444446,0.06666666666666667,-0.044444444444444446,0.06666666666666667,0,0,0,0,0
8,0,"A(g6,y6,r6)-W(g15,y15,r15)-G(22x22)-P(gwidespread,ywidespread,rwidespread)",6,6,6,15,15,15,190,3008,True,False,False,False,116.0,174.0,190.0,190.0,190.0,190.0,3,5,23,31,45,1,0,26,27,0.044444444444444446,0.1111111111111111,-0.06666666666666667,0.08888888888888889,0,0,0,0,0
9,0,"A(g6,y6,r6)-W(g15,y15,r15)-G(22x22)-P(gwidespread,ywidespread,rwidespread)",6,6,6,15,15,15,177,3009,True,False,False,False,151.0,123.0,177.0,177.0,177.0,177.0,3,3,24,30,45,1,0,26,27,0.044444444444444446,0.06666666666666667,-0.044444444444444446,0.06666666666666667,0,0,0,0,0
10,0,"A(g6,y6,r6)-W(g15,y15,r15)-G(22x22)-P(gwidespread,ywidespread,rwidespread)",6,6,6,15,15,15,328,3010,True,False,False,False,111.0,328.0,176.0,328.0,328.0,328.0,1,4,24,29,45,1,0,26,27,0.0,0.08888888888888889,-0.044444444444444446,0.044444444444444446,0,0,0,0,0
11,0,"A(g6,y6,r6)-W(g15,y15,r15)-G(22x22)-P(gwidespread,ywidespread,rwidespread)",6,6,6,15,15,15,176,3011,True,False,False,False,117.0,110.0,176.0,176.0,176.0,176.0,1,4,24,29,45,1,0,26,27,0.0,0.08888888888888889,-0.044444444444444446,0.044444444444444446,0,0,0,0,0
12,0,"A(g6,y6,r6)-W(g15,y15,r15)-G(22x22)-P(gwidespread,ywidespread,rwidespread)",6,6,6,15,15,15,246,3012,True,False,False,False,246.0,161.0,207.0,246.0,246.0,246.0,3,7,22,32,45,1,0,26,27,0.044444444444444446,0.15555555555555556,-0.08888888888888889,0.1111111111111111,0,0,0,0,0
