RunId,iteration,config,n_green_agents,n_yellow_agents,n_red_agents,n_green_waste,n_yellow_waste,n_red_waste,steps_executed,seed,cleaned,timed_out,stopped_with_waste,possible_deadlock,step_green_zero,step_yellow_zero,step_red_zero,step_total_zero,step_all_zero,step_all_zero_effective,disposed_green,disposed_yellow,disposed_red,disposed_total,initial_total_waste,optimal_green,optimal_yellow,optimal_red,optimal_total,compaction_ratio_green,compaction_ratio_yellow,compaction_ratio_red,compaction_ratio_total,green,yellow,red,total,cumulative_distance
0,0,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gno_communication,yno_communication,rno_communication)",3,3,3,4,4,4,64,1000,True,False,False,False,50.0,64.0,42.0,64.0,64.0,64.0,2,3,4,9,12,0,0,7,7,0.16666666666666666,0.25,-0.25,0.16666666666666666,0,0,0,0,0
1,0,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gno_communication,yno_communication,rno_communication)",3,3,3,4,4,4,77,1001,True,False,False,False,77.0,50.0,59.0,77.0,77.0,77.0,4,4,4,12,12,0,0,7,7,0.3333333333333333,0.3333333333333333,-0.25,0.4166666666666667,0,0,0,0,0
2,0,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gno_communication,yno_communication,rno_communication)",3,3,3,4,4,4,49,1002,True,False,False,False,5.0,49.0,35.0,49.0,49.0,49.0,0,2,6,8,12,0,0,7,7,0.0,0.16666666666666666,-0.08333333333333333,0.08333333333333333,0,0,0,0,0
3,0,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gno_communication,yno_communication,rno_communication)",3,3,3,4,4,4,60,1003,True,False,False,False,55.0,60.0,45.0,60.0,60.0,60.0,2,3,5,10,12,0,0,7,7,0.16666666666666666,0.25,-0.16666666666666666,0.25,0,0,0,0,0
4,0,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gno_communication,yno_communication,rno_communication)",3,3,3,4,4,4,57,1004,True,False,False,False,9.0,50.0,57.0,57.0,57.0,57.0,0,2,6,8,12,0,0,7,7,0.0,0.16666666666666666,-0.08333333333333333,0.08333333333333333,0,0,0,0,0
5,0,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gno_communication,yno_communication,rno_communication)",3,3,3,4,4,4,58,1005,True,False,False,False,10.0,34.0,58.0,58.0,58.0,58.0,0,2,6,8,12,0,0,7,7,0.0,0.16666666666666666,-0.08333333333333333,0.08333333333333333,0,0,0,0,0
6,0,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gno_communication,yno_communication,rno_communication)",3,3,3,4,4,4,57,1006,True,False,False,False,54.0,19.0,57.0,57.0,57.0,57.0,2,1,6,9,12,0,0,7,7,0.16666666666666666,0.08333333333333333,-0.08333333333333333,0.16666666666666666,0,0,0,0,0
7,0,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gno_communication,yno_communication,rno_communication)",3,3,3,4,4,4,56,1007,True,False,False,False,10.0,56.0,49.0,56.0,56.0,56.0,0,2,6,8,12,0,0,7,7,0.0,0.16666666666666666,-0.08333333333333333,0.08333333333333333,0,0,0,0,0
8,0,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gno_communication,yno_communication,rno_communication)",3,3,3,4,4,4,56,1008,True,False,False,False,11.0,54.0,56.0,56.0,56.0,56.0,0,2,6,8,12,0,0,7,7,0.0,0.16666666666666666,-0.08333333333333333,0.08333333333333333,0,0,0,0,0
9,0,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gno_communication,yno_communication,rno_communication)",3,3,3,4,4,4,66,1009,True,False,False,False,40.0,66.0,35.0,66.0,66.0,66.0,2,3,4,9,12,0,0,7,7,0.16666666666666666,0.25,-0.25,0.16666666666666666,0,0,0,0,0
10,0,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gno_communication,yno_communication,rno_communication)",3,3,3,4,4,4,48,1010,True,False,False,False,35.0,48.0,25.0,48.0,48.0,48.0,2,3,5,10,12,0,0,7,7,0.16666666666666666,0.25,-0.16666666666666666,0.25,0,0,0,0,0
11,0,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gno_communication,yno_communication,rno_communication)",3,3,3,4,4,4,63,1011,True,False,False,False,63.0,33.0,49.0,63.0,63.0,63.0,4,2,4,10,12,0,0,7,7,0.3333333333333333,0.16666666666666666,-0.25,0.25,0,0,0,0,0
12,0,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gno_communication,yno_communication,rno_communication)",3,3,3,4,4,4,47,1012,True,False,False,False,39.0,47.0,44.0,47.0,47.0,47.0,2,3,4,9,12,0,0,7,7,0.16666666666666666,0.25,-0.25,0.16666666666666666,0,0,0,0,0
13,0,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gno_communication,yno_communication,rno_communication)",3,3,3,4,4,4,59,1013,True,False,False,False,59.0,52.0,46.0,59.0,59.0,59.0,2,1,6,9,12,0,0,7,7,0.16666666666666666,0.08333333333333333,-0.08333333333333333,0.16666666666666666,0,0,0,0,0
14,0,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gno_communication,yno_communication,rno_communication)",3,3,3,4,4,4,57,1014,True,False,False,False,6.0,43.0,57.0,57.0,57.0,57.0,0,4,5,9,12,0,0,7,7,0.0,0.3333333333333333,-0.16666666666666666,0.16666666666666666,0,0,0,0,0
