RunId,iteration,config,n_green_agents,n_yellow_agents,n_red_agents,n_green_waste,n_yellow_waste,n_red_waste,steps_executed,seed,cleaned,timed_out,stopped_with_waste,possible_deadlock,step_green_zero,step_yellow_zero,step_red_zero,step_total_zero,step_all_zero,step_all_zero_effective,disposed_green,disposed_yellow,disposed_red,disposed_total,initial_total_waste,optimal_green,optimal_yellow,optimal_red,optimal_total,compaction_ratio_green,compaction_ratio_yellow,compaction_ratio_red,compaction_ratio_total,green,yellow,red,total,cumulative_distance
0,0,"A(g22,y22,r22)-W(g35,y35,r35)-G(40x40)-P(gno_communication,yno_communication,rno_communication)",22,22,22,35,35,35,373,5000,True,False,False,False,358.0,331.0,373.0,373.0,373.0,373.0,7,7,56,70,105,1,0,61,62,0.05714285714285714,0.06666666666666667,-0.047619047619047616,0.0761904761904762,0,0,0,0,0
1,0,"A(g22,y22,r22)-W(g35,y35,r35)-G(40x40)-P(gno_communication,yno_communication,rno_communication)",22,22,22,35,35,35,673,5001,True,False,False,False,673.0,505.0,605.0,673.0,673.0,673.0,9,4,57,70,105,1,0,61,62,0.0761904761904762,0.0380952380952381,-0.0380952380952381,0.0761904761904762,0,0,0,0,0
2,0,"A(g22,y22,r22)-W(g35,y35,r35)-G(40x40)-P(gno_communication,yno_communication,rno_communication)",22,22,22,35,35,35,420,5002,True,False,False,False,391.0,420.0,413.0,420.0,420.0,420.0,7,7,56,70,105,1,0,61,62,0.05714285714285714,0.06666666666666667,-0.047619047619047616,0.0761904761904762,0,0,0,0,0
3,0,"A(g22,y22,r22)-W(g35,y35,r35)-G(40x40)-P(gno_communication,yno_communication,rno_communication)",22,22,22,35,35,35,517,5003,True,False,False,False,478.0,355.0,517.0,517.0,517.0,517.0,9,2,58,69,105,1,0,61,62,0.0761904761904762,0.01904761904761905,-0.02857142857142857,0.06666666666666667,0,0,0,0,0
4,0,"A(g22,y22,r22)-W(g35,y35,r35)-G(40x40)-P(gno_communication,yno_communication,rno_communication)",22,22,22,35,35,35,441,5004,True,False,False,False,369.0,441.0,420.0,441.0,441.0,441.0,11,5,56,72,105,1,0,61,62,0.09523809523809523,0.047619047619047616,-0.047619047619047616,0.09523809523809523,0,0,0,0,0
5,0,"A(g22,y22,r22)-W(g35,y35,r35)-G(40x40)-P(gno_communication,yno_communication,rno_communication)",22,22,22,35,35,35,409,5005,True,False,False,False,398.0,409.0,352.0,409.0,409.0,409.0,9,8,55,72,105,1,0,61,62,0.0761904761904762,0.0761904761904762,-0.05714285714285714,0.09523809523809523,0,0,0,0,0
6,0,"A(g22,y22,r22)-W(g35,y35,r35)-G(40x40)-P(gno_communication,yno_communication,rno_communication)",22,22,22,35,35,35,438,5006,True,False,False,False,368.0,362.0,438.0,438.0,438.0,438.0,7,7,56,70,105,1,0,61,62,0.05714285714285714,0.06666666666666667,-0.047619047619047616,0.0761904761904762,0,0,0,0,0
7,0,"A(g22,y22,r22)-W(g35,y35,r35)-G(40x40)-P(gno_communication,yno_communication,rno_communication)",22,22,22,35,35,35,480,5007,True,False,False,False,457.0,408.0,480.0,480.0,480.0,480.0,7,5,57,69,105,1,0,61,62,0.05714285714285714,0.047619047619047616,-0.0380952380952381,0.06666666666666667,0,0,0,0,0
8,0,"A(g22,y22,r22)-W(g35,y35,r35)-G(40x40)-P(gno_communication,yno_communication,rno_communication)",22,22,22,35,35,35,656,5008,True,False,False,False,529.0,546.0,656.0,656.0,656.0,656.0,7,5,57,69,105,1,0,61,62,0.05714285714285714,0.047619047619047616,-0.0380952380952381,0.06666666666666667,0,0,0,0,0
9,0,"A(g22,y22,r22)-W(g35,y35,r35)-G(40x40)-P(gno_communication,yno_communication,rno_communication)",22,22,22,35,35,35,961,5009,True,False,False,False,470.0,435.0,961.0,961.0,961.0,961.0,3,5,58,66,105,1,0,61,62,0.01904761904761905,0.047619047619047616,-0.02857142857142857,0.0380952380952381,0,0,0,0,0
