RunId,iteration,config,n_green_agents,n_yellow_agents,n_red_agents,n_green_waste,n_yellow_waste,n_red_waste,steps_executed,seed,cleaned,timed_out,stopped_with_waste,possible_deadlock,step_green_zero,step_yellow_zero,step_red_zero,step_total_zero,step_all_zero,step_all_zero_effective,disposed_green,disposed_yellow,disposed_red,disposed_total,initial_total_waste,optimal_green,optimal_yellow,optimal_red,optimal_total,compaction_ratio_green,compaction_ratio_yellow,compaction_ratio_red,compaction_ratio_total,green,yellow,red,total,cumulative_distance
0,0,"A(g6,y6,r6)-W(g9,y9,r9)-G(40x40)-P(gwidespread,ywidespread,rwidespread)",6,6,6,9,9,9,278,2000,True,False,False,False,215.0,248.0,278.0,278.0,278.0,278.0,5,5,12,22,27,1,1,15,17,0.14814814814814814,0.14814814814814814,-0.1111111111111111,0.18518518518518517,0,0,0,0,0
1,0,"A(g6,y6,r6)-W(g9,y9,r9)-G(40x40)-P(gwidespread,ywidespread,rwidespread)",6,6,6,9,9,9,236,2001,True,False,False,False,236.0,168.0,229.0,236.0,236.0,236.0,3,4,13,20,27,1,1,15,17,0.07407407407407407,0.1111111111111111,-0.07407407407407407,0.1111111111111111,0,0,0,0,0
2,0,"A(g6,y6,r6)-W(g9,y9,r9)-G(40x40)-P(gwidespread,ywidespread,rwidespread)",6,6,6,9,9,9,480,2002,True,False,False,False,193.0,475.0,480.0,480.0,480.0,480.0,3,6,12,21,27,1,1,15,17,0.07407407407407407,0.18518518518518517,-0.1111111111111111,0.14814814814814814,0,0,0,0,0
3,0,"A(g6,y6,r6)-W(g9,y9,r9)-G(40x40)-P(gwidespread,ywidespread,rwidespread)",6,6,6,9,9,9,356,2003,True,False,False,False,160.0,273.0,356.0,356.0,356.0,356.0,3,6,12,21,27,1,1,15,17,0.07407407407407407,0.18518518518518517,-0.1111111111111111,0.14814814814814814,0,0,0,0,0
4,0,"A(g6,y6,r6)-W(g9,y9,r9)-G(40x40)-P(gwidespread,ywidespread,rwidespread)",6,6,6,9,9,9,2000,2004,False,True,True,True,,201.0,237.0,,,2000.0,6,4,12,22,27,1,1,15,17,0.18518518518518517,0.1111111111111111,-0.1111111111111111,0.18518518518518517,1,0,0,1,56
5,0,"A(g6,y6,r6)-W(g9,y9,r9)-G(40x40)-P(gwidespread,ywidespread,rwidespread)",6,6,6,9,9,9,264,2005,True,False,False,False,211.0,233.0,264.0,264.0,264.0,264.0,1,7,12,20,27,1,1,15,17,0.0,0.2222222222222222,-0.1111111111111111,0.1111111111111111,0,0,0,0,0
6,0,"A(g6,y6,r6)-W(g9,y9,r9)-G(40x40)-P(gwidespread,ywidespread,rwidespread)",6,6,6,9,9,9,307,2006,True,False,False,False,173.0,191.0,307.0,307.0,307.0,307.0,5,3,13,21,27,1,1,15,17,0.14814814814814814,0.07407407407407407,-0.07407407407407407,0.14814814814814814,0,0,0,0,0
7,0,"A(g6,y6,r6)-W(g9,y9,r9)-G(40x40)-P(gwidespread,ywidespread,rwidespread)",6,6,6,9,9,9,567,2007,True,False,False,False,158.0,142.0,567.0,567.0,567.0,567.0,1,3,14,18,27,1,1,15,17,0.0,0.07407407407407407,-0.037037037037037035,0.037037037037037035,0,0,0,0,0
8,0,"A(g6,y6,r6)-W(g9,y9,r9)-G(40x40)-P(gwidespread,ywidespread,rwidespread)",6,6,6,9,9,9,384,2008,True,False,False,False,186.0,171.0,384.0,384.0,384.0,384.0,5,3,13,21,27,1,1,15,17,0.14814814814814814,0.07407407407407407,-0.07407407407407407,0.14814814814814814,0,0,0,0,0
9,0,"A(g6,y6,r6)-W(g9,y9,r9)-G(40x40)-P(gwidespread,ywidespread,rwidespread)",6,6,6,9,9,9,295,2009,True,False,False,False,175.0,295.0,249.0,295.0,295.0,295.0,1,3,14,18,27,1,1,15,17,0.0,0.07407407407407407,-0.037037037037037035,0.037037037037037035,0,0,0,0,0
10,0,"A(g6,y6,r6)-W(g9,y9,r9)-G(40x40)-P(gwidespread,ywidespread,rwidespread)",6,6,6,9,9,9,354,2010,True,False,False,False,266.0,260.0,354.0,354.0,354.0,354.0,5,5,12,22,27,1,1,15,17,0.14814814814814814,0.14814814814814814,-0.1111111111111111,0.18518518518518517,0,0,0,0,0
11,0,"A(g6,y6,r6)-W(g9,y9,r9)-G(40x40)-P(gwidespread,ywidespread,rwidespread)",6,6,6,9,9,9,881,2011,True,False,False,False,223.0,227.0,881.0,881.0,881.0,881.0,3,4,13,20,27,1,1,15,17,0.07407407407407407,0.1111111111111111,-0.07407407407407407,0.1111111111111111,0,0,0,0,0
12,0,"A(g6,y6,r6)-W(g9,y9,r9)-G(40x40)-P(gwidespread,ywidespread,rwidespread)",6,6,6,9,9,9,376,2012,True,False,False,False,221.0,294.0,376.0,376.0,376.0,376.0,3,6,12,21,27,1,1,15,17,0.07407407407407407,0.18518518518518517,-0.1111111111111111,0.14814814814814814,0,0,0,0,0
13,0,"A(g6,y6,r6)-W(g9,y9,r9)-G(40x40)-P(gwidespread,ywidespread,rwidespread)",6,6,6,9,9,9,974,2013,True,False,False,False,150.0,41.0,974.0,974.0,974.0,974.0,3,0,15,18,27,1,1,15,17,0.07407407407407407,-0.037037037037037035,0.0,0.037037037037037035,0,0,0,0,0
14,0,"A(g6,y6,r6)-W(g9,y9,r9)-G(40x40)-P(gwidespread,ywidespread,rwidespread)",6,6,6,9,9,9,2000,2014,False,True,True,True,178.0,159.0,,,,2000.0,1,3,13,17,27,1,1,15,17,0.0,0.07407407407407407,-0.07407407407407407,0.0,0,0,1,1,33
15,0,"A(g6,y6,r6)-W(g9,y9,r9)-G(40x40)-P(gwidespread,ywidespread,rwidespread)",6,6,6,9,9,9,453,2015,True,False,False,False,241.0,258.0,453.0,453.0,453.0,453.0,7,4,12,23,27,1,1,15,17,0.2222222222222222,0.1111111111111111,-0.1111111111111111,0.2222222222222222,0,0,0,0,0
16,0,"A(g6,y6,r6)-W(g9,y9,r9)-G(40x40)-P(gwidespread,ywidespread,rwidespread)",6,6,6,9,9,9,336,2016,True,False,False,False,162.0,336.0,219.0,336.0,336.0,336.0,3,2,14,19,27,1,1,15,17,0.07407407407407407,0.037037037037037035,-0.037037037037037035,0.07407407407407407,0,0,0,0,0
17,0,"A(g6,y6,r6)-W(g9,y9,r9)-G(40x40)-P(gwidespread,ywidespread,rwidespread)",6,6,6,9,9,9,648,2017,True,False,False,False,162.0,264.0,648.0,648.0,648.0,648.0,5,3,13,21,27,1,1,15,17,0.14814814814814814,0.07407407407407407,-0.07407407407407407,0.14814814814814814,0,0,0,0,0
18,0,"A(g6,y6,r6)-W(g9,y9,r9)-G(40x40)-P(gwidespread,ywidespread,rwidespread)",6,6,6,9,9,9,930,2018,True,False,False,False,166.0,239.0,930.0,930.0,930.0,930.0,1,5,13,19,27,1,1,15,17,0.0,0.14814814814814814,-0.07407407407407407,0.07407407407407407,0,0,0,0,0
19,0,"A(g6,y6,r6)-W(g9,y9,r9)-G(40x40)-P(gwidespread,ywidespread,rwidespread)",6,6,6,9,9,9,234,2019,True,False,False,False,206.0,225.0,234.0,234.0,234.0,234.0,3,2,14,19,27,1,1,15,17,0.07407407407407407,0.037037037037037035,-0.037037037037037035,0.07407407407407407,0,0,0,0,0
