RunId,iteration,Step,green,yellow,red,total,cumulative_distance,step_green_zero,step_yellow_zero,step_red_zero,step_total_zero,step_all_zero,cleaned,steps_executed,disposed_green,disposed_yellow,disposed_red,disposed_total,n_green_agents,n_yellow_agents,n_red_agents,n_green_waste,n_yellow_waste,n_red_waste,width,height,exploration_share_interval_steps,policy_profile_green,policy_profile_yellow,policy_profile_red,seed,config,distance_stagnation
0,0,21,2,3,0,5,32,,,21.0,,,False,21,0,0,4,4,3,3,3,4,4,4,8,8,30,widespread,widespread,widespread,1000,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread,ywidespread,rwidespread)",False
0,0,22,2,3,0,5,31,,,21.0,,,False,22,0,0,4,4,3,3,3,4,4,4,8,8,30,widespread,widespread,widespread,1000,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread,ywidespread,rwidespread)",False
0,0,23,2,3,0,5,30,,,21.0,,,False,23,0,0,4,4,3,3,3,4,4,4,8,8,30,widespread,widespread,widespread,1000,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread,ywidespread,rwidespread)",False
0,0,24,2,3,0,5,28,,,21.0,,,False,24,0,0,4,4,3,3,3,4,4,4,8,8,30,widespread,widespread,widespread,1000,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread,ywidespread,rwidespread)",False
0,0,25,2,3,0,5,26,,,21.0,,,False,25,0,0,4,4,3,3,3,4,4,4,8,8,30,widespread,widespread,widespread,1000,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread,ywidespread,rwidespread)",False
0,0,26,2,3,0,5,23,,,21.0,,,False,26,0,0,4,4,3,3,3,4,4,4,8,8,30,widespread,widespread,widespread,1000,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread,ywidespread,rwidespread)",False
0,0,27,2,3,0,5,21,,,21.0,,,False,27,0,0,4,4,3,3,3,4,4,4,8,8,30,widespread,widespread,widespread,1000,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread,ywidespread,rwidespread)",False
0,0,28,1,3,0,4,22,,,21.0,,,False,28,1,0,4,5,3,3,3,4,4,4,8,8,30,widespread,widespread,widespread,1000,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread,ywidespread,rwidespread)",False
0,0,29,1,3,0,4,21,,,21.0,,,False,29,1,0,4,5,3,3,3,4,4,4,8,8,30,widespread,widespread,widespread,1000,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread,ywidespread,rwidespread)",False
0,0,30,1,3,0,4,19,,,21.0,,,False,30,1,0,4,5,3,3,3,4,4,4,8,8,30,widespread,widespread,widespread,1000,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread,ywidespread,rwidespread)",False
0,0,31,1,2,0,3,18,,,21.0,,,False,31,1,1,4,6,3,3,3,4,4,4,8,8,30,widespread,widespread,widespread,1000,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread,ywidespread,rwidespread)",False
0,0,32,1,2,0,3,17,,,21.0,,,False,32,1,1,4,6,3,3,3,4,4,4,8,8,30,widespread,widespread,widespread,1000,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread,ywidespread,rwidespread)",False
0,0,33,1,1,0,2,17,,,21.0,,,False,33,1,2,4,7,3,3,3,4,4,4,8,8,30,widespread,widespread,widespread,1000,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread,ywidespread,rwidespread)",False
