RunId,iteration,config,n_green_agents,n_yellow_agents,n_red_agents,n_green_waste,n_yellow_waste,n_red_waste,steps_executed,seed,cleaned,timed_out,stopped_with_waste,possible_deadlock,step_green_zero,step_yellow_zero,step_red_zero,step_total_zero,step_all_zero,step_all_zero_effective,disposed_green,disposed_yellow,disposed_red,disposed_total,initial_total_waste,optimal_green,optimal_yellow,optimal_red,optimal_total,compaction_ratio_green,compaction_ratio_yellow,compaction_ratio_red,compaction_ratio_total,green,yellow,red,total,cumulative_distance
0,0,"A(g22,y22,r22)-W(g35,y35,r35)-G(40x40)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)",22,22,22,35,35,35,1000,5000,False,True,True,True,255.0,,477.0,,,1000.0,5,7,56,68,105,1,0,61,62,0.0380952380952381,0.06666666666666667,-0.047619047619047616,0.05714285714285714,0,1,0,1,39
1,0,"A(g22,y22,r22)-W(g35,y35,r35)-G(40x40)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)",22,22,22,35,35,35,682,5001,True,False,False,False,243.0,682.0,380.0,682.0,682.0,682.0,7,15,52,74,105,1,0,61,62,0.05714285714285714,0.14285714285714285,-0.08571428571428572,0.11428571428571428,0,0,0,0,0
2,0,"A(g22,y22,r22)-W(g35,y35,r35)-G(40x40)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)",22,22,22,35,35,35,419,5002,True,False,False,False,419.0,338.0,335.0,419.0,419.0,419.0,11,7,55,73,105,1,0,61,62,0.09523809523809523,0.06666666666666667,-0.05714285714285714,0.10476190476190476,0,0,0,0,0
3,0,"A(g22,y22,r22)-W(g35,y35,r35)-G(40x40)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)",22,22,22,35,35,35,320,5003,True,False,False,False,257.0,306.0,320.0,320.0,320.0,320.0,5,10,55,70,105,1,0,61,62,0.0380952380952381,0.09523809523809523,-0.05714285714285714,0.0761904761904762,0,0,0,0,0
4,0,"A(g22,y22,r22)-W(g35,y35,r35)-G(40x40)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)",22,22,22,35,35,35,1000,5004,False,True,True,True,265.0,235.0,,,,1000.0,11,5,54,70,105,1,0,61,62,0.09523809523809523,0.047619047619047616,-0.06666666666666667,0.0761904761904762,0,0,2,2,63
5,0,"A(g22,y22,r22)-W(g35,y35,r35)-G(40x40)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)",22,22,22,35,35,35,1000,5005,False,True,True,True,276.0,260.0,,,,1000.0,7,7,55,69,105,1,0,61,62,0.05714285714285714,0.06666666666666667,-0.05714285714285714,0.06666666666666667,0,0,1,1,32
6,0,"A(g22,y22,r22)-W(g35,y35,r35)-G(40x40)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)",22,22,22,35,35,35,436,5006,True,False,False,False,436.0,294.0,431.0,436.0,436.0,436.0,15,7,54,76,105,1,0,61,62,0.13333333333333333,0.06666666666666667,-0.06666666666666667,0.13333333333333333,0,0,0,0,0
7,0,"A(g22,y22,r22)-W(g35,y35,r35)-G(40x40)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)",22,22,22,35,35,35,379,5007,True,False,False,False,339.0,293.0,379.0,379.0,379.0,379.0,9,8,55,72,105,1,0,61,62,0.0761904761904762,0.0761904761904762,-0.05714285714285714,0.09523809523809523,0,0,0,0,0
8,0,"A(g22,y22,r22)-W(g35,y35,r35)-G(40x40)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)",22,22,22,35,35,35,1000,5008,False,True,True,True,,350.0,474.0,,,1000.0,8,14,52,74,105,1,0,61,62,0.06666666666666667,0.13333333333333333,-0.08571428571428572,0.11428571428571428,1,0,0,1,50
9,0,"A(g22,y22,r22)-W(g35,y35,r35)-G(40x40)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)",22,22,22,35,35,35,404,5009,True,False,False,False,296.0,262.0,404.0,404.0,404.0,404.0,11,9,54,74,105,1,0,61,62,0.09523809523809523,0.08571428571428572,-0.06666666666666667,0.11428571428571428,0,0,0,0,0
